Company_ID,Marketing_Spending,Profit
1,172621,155375.85
2,11556,39121.6
3,77097,78556.45
4,63513,63558.05
5,198061,176709.85
6,182392,184303.2
7,147964,133617.4
8,159794,154649.9
9,13331,17307.35
10,29561,37290.85
11,65990,77650.5
12,162815,144261.75
13,152127,140822.95
14,192700,190090.0
15,188848,183376.8
16,114974,109950.9
17,122757,128652.45
18,77926,97760.1
19,6703,35561.55
20,46853,67701.05
21,115785,114566.25
22,77842,76259.7
23,61443,82244.55
24,93236,87599.6
25,29312,42364.2
26,30353,42563.05
27,95165,105672.25
28,74342,94637.7
29,16390,42842.5
30,125435,129190.75
31,37722,49466.7
32,25656,44896.6
33,81854,101752.9
34,169794,169591.9
35,99800,108748.0
36,55407,75182.95
37,23233,26249.05
38,178346,164061.1
39,80861,76345.85
40,66024,89512.4
41,31476,44209.6
42,77869,86045.65
43,171640,178226.0
44,100638,95871.3
45,102040,103375.0
46,59921,77892.85
47,74986,91735.1
48,184187,182792.95
49,23717,45119.45
50,171455,156343.75
51,145021,152159.85
52,69175,69152.75
53,126178,124684.3
54,75765,90371.25
55,185397,180837.45
56,62570,80617.5
57,90008,109124.8
58,19663,29218.55
59,13414,42780.9
60,87694,92684.9
61,75186,71076.1
62,60307,86181.95
63,153682,164345.7
64,193196,179527.6
65,60738,78104.3
66,135870,133453.5
67,173519,167526.15
68,42452,49763.2
69,41603,48443.55
70,152159,151996.15
71,73876,92272.6
72,158245,153546.25
73,157969,152360.65
74,99895,97096.75
75,41262,56768.7
76,134372,122194.2
77,17351,47964.35
78,33743,38689.55
79,169481,154300.85
80,183384,174709.4
81,161345,144224.25
82,105864,107488.4
83,161208,157363.8
84,143704,135386.4
85,150024,160726.4
86,8009,34098.65
87,193932,173595.2
88,183706,190142.1
89,145763,153502.55
90,74946,93889.1
91,173024,163216.4
92,34242,43722.7
93,118971,111307.35
94,123940,110455.0
95,194292,198847.2
96,193659,178240.15
97,136225,145758.25
98,51832,65692.2
99,32894,61484.9
100,168918,158359.3
